Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
1,Cartoon Intro ,0:00,0:12,0,12,"People in popcorn, candy, and soft drink costumes are parading down a crowd of people singing ""Let's all go to the lobby, to get ourselves a treat!""","1. Cartoon introduction - singers repeat ""Let's all go to the lobby to get ourselves a treat"" in the background as illustration of treats in the lobby and families enjoying them are shown. Countdown to the movie. ",1. Cartoon,Indoor,G,Cartoon People in Costumes ,Cartoon People in Costumes ,Cartoon People in Costumes ,Indoor,Cartoon World,Long,,Yes,,,3,+
2,,0:12,0:15,12,15,"Popcorn is being popped in a large popcorn machine made of glass. A young woman sings: ""Delicious things to eat!""",Segment 1-7,,Indoor,G,Female Singer,,Female Singer,Indoor,Cartoon World,Medium,,Yes,,,3,+
3,,0:15,0:17,15,17,"Men sing in reply: ""the popcorn can't be beat!""", ,,Indoor,G,Male Singers,,Male Singers,Indoor,Cartoon World,Medium,,Yes,,,3,+
4,,0:17,0:23,17,23,"A family of four, a father with a black suit, a little boy with a striped shirt, his older sister with a red shirt and red hair and red bow as well as a mother with a green shirt and grey skirt are seen snacking on popcorn and candy. Background singers sing: ""The sparkling drinks are just dandy, the chocolate bars and the candy...""", ,,Indoor,G,Background Singers,,Background Singers,Indoor,Cartoon World,Medium,,Yes,,,3,+
5,,0:23,0:29,23,29,"A view of the lobby with a display of snacks for the movies. A woman is at the cash register.  Background singers: ""So, let's all go to the lobby to get ourselves a treat""", ,,Indoor,G,"Cartoon Woman, Background Singers",Cartoon Woman,Background Singers,Indoor,Cartoon World,Medium,,Yes,,,3,+
6,,0:29,0:34,29,34,"Let's all go to the Lobby to get Ourselves a Treat! Is seen as on-screen text. Singers sing ""Let's all go to the lobby…"" ", ,,Indoor,G,Background Singers,,Background Singers,Indoor,Cartoon World,Medium,Let's all go to the Lobby to get Ourselves a Treat!,Yes,,,4,+
7,,0:34,0:39,34,39,"There is an on-screen countdown from three two one as the background singers finish singing: ""... to get ourselves a treat!"". The music ceases.", ,,Indoor,G,Background Singers,,Background Singers,Indoor,Cartoon World,,,Yes,,,4,+
8,War Scenes,0:39,0:40,39,40,Gunfire by a soldier along a wall made of stacked stones ,2. John's nightmares of his time in war-torn Afghanistan leading up to his injury.,2. War Scene,Outdoor,G,Soldiers,Soldiers,,Outdoor,Afghanistan ,Medium,,No,,,5,-
9,,0:41,0:41,40,41,A bomb or land mine goes off in the middle of a grassy field,Segment 8-18,,Outdoor,G,Soldiers,Soldiers,,Outdoor,Afghanistan ,Long,,No,,,5,-
10,,0:41,0:42,41,42,A Soldier kicks open a door. Soldiers shooting at a target off screen behind a wall. Other soldiers are sitting ducked beneath the wall. , ,,Outdoor,G,Soldiers,Soldiers,,Outdoor,Afghanistan ,Medium,,No,,,5,-
11,,0:42,0:43,42,43,Close up view of John tossing in bed while sleeping, ,,Indoor,M,John,John,,Indoor,John's Room,Close Up,,No,,,5,-
12,,0:43,0:45,43,45,More gunfire. Two soldiers seen hand signalling to each other in the battlefield filled with tall grass , ,,Outdoor,G,Soldiers,Soldiers,,Outdoor,Afghanistan ,Medium,,No,,,5,-
13,,0:45,0:45,45,45.3,Sideways view of john sleeping at night  , ,,Indoor,M,John,John,,Indoor,John's Room,Medium,,No,,,5,-
14,,0:45,0:46,45.3,46,One of the soldiers that was signalling collapses , ,,Outdoor,M,Soldiers,Soldiers,,Outdoor,Afghanistan ,Medium,,No,,,5,-
15,,0:46,0:47,46,47,A soldier runs across the battlefield. Cut to another soldier standing and aiming to kill a target off screen with his gun , ,,Outdoor,G,Soldiers,Soldiers,,Outdoor,Afghanistan ,Medium,,No,,,5,-
16,,0:47,0:48,47,48,"Quick shot of John's face in pain as he is lying down on the battlefield and someone calls out ""John!"", then a shot of him sleeping in bed ", ,,Outdoor,"M, G","John, Unknown Soldier",John,Unknown Soldier,Outdoor,Afghanistan ,Close Up,,No,,,5,-
17,,0:48,0:49,48,49,Random gunfire by a soldier standing nearby and a full body view of John lying down on the floor in pain in battle , ,,Outdoor,"M, G","John, Soldiers","John, Soldiers",,Outdoor,Afghanistan ,Medium,,No,,,5,-
